date,ticker,count,close,sentiment,prop,n_posts,stock_post,count_post,sentiment_post,count_above,stock_above,sentiment_above
2021-03-31,AMC,3,10.21,0.8391666666666667,0.03571428571428571,84,0.008,0.056,0,FALSE,FALSE,FALSE
2021-04-01,AMC,2,9.36,0.9927,0.014388489208633094,139,0.002,0.03,0,FALSE,FALSE,FALSE
2021-04-02,AMC,2,9.36,0.2723,0.024096385542168676,83,0.002,0.056,0,FALSE,FALSE,FALSE
2021-04-03,AMC,2,9.36,0.6223,0.05714285714285714,35,0.004,0.974,0,TRUE,FALSE,FALSE
2021-04-04,AMC,1,9.36,0.2732,0.16666666666666666,6,0.004,0.984,0,TRUE,FALSE,FALSE
2021-04-05,AMC,2,10.61,0.76795,0.04081632653061224,49,0.006,0.022,0,FALSE,FALSE,FALSE
2021-04-06,AMC,3,10.2,0.27193333333333336,0.04,75,0.006,0.056,0,FALSE,FALSE,FALSE
2021-04-07,AMC,1,9.85,0.9995,0.01639344262295082,61,0.004,0.042,0,FALSE,FALSE,FALSE
2021-04-08,AMC,1,9.79,0.4278,0.013888888888888888,72,0.002,0.04,0,FALSE,FALSE,FALSE
2021-04-09,AMC,1,9.42,0.9829,0.009345794392523364,107,0.004,0.086,0,FALSE,FALSE,FALSE
2021-04-10,AMC,1,9.42,-0.4824,0.01282051282051282,78,0,0.12,0,FALSE,FALSE,FALSE
2021-04-11,AMC,1,9.42,0.9991,0.034482758620689655,29,0.004,0.146,0,FALSE,FALSE,FALSE
2021-04-12,AMC,3,8.62,0.30720000000000003,0.057692307692307696,52,0.002,0.056,0,FALSE,FALSE,FALSE
2021-04-13,AMC,8,8.84,0.6088625,0.0761904761904762,105,0.004,0.066,0,FALSE,FALSE,FALSE
2021-04-14,AMC,3,9.35,0.2484666666666667,0.025,120,0.008,0.046,0,FALSE,FALSE,FALSE
2021-04-15,AMC,4,9.9,0.36312500000000003,0.047619047619047616,84,0.006,0.042,0,FALSE,FALSE,FALSE
2021-04-16,AMC,4,9.33,0.561475,0.05128205128205128,78,0.008,0.028,0,FALSE,FALSE,FALSE
2021-04-17,AMC,2,9.33,0.61015,0.02197802197802198,91,0.008,0.076,0,FALSE,FALSE,FALSE
2021-04-18,AMC,2,9.33,0.74165,0.08333333333333333,24,0.002,0.038,0,FALSE,FALSE,FALSE
2021-04-19,AMC,2,9.66,0.9425,0.07692307692307693,26,0.004,0.13,0,FALSE,FALSE,FALSE
2021-04-20,AMC,1,9.28,0,0.015873015873015872,63,0.006,0.048,0,FALSE,FALSE,FALSE
2021-04-21,AMC,2,9.78,0.6444,0.027777777777777776,72,0.01,0.05,0,FALSE,FALSE,FALSE
2021-04-22,AMC,2,9.99,0.9850000000000001,0.03636363636363636,55,0.008,0.048,0,FALSE,FALSE,FALSE
2021-04-23,AMC,2,10.16,0.495,0.043478260869565216,46,0.002,0.044,0,FALSE,FALSE,FALSE
2021-04-24,AMC,3,10.16,0.6795,0.05084745762711865,59,0.008,0.062,0,FALSE,FALSE,FALSE
2021-04-25,AMC,1,10.16,0.9999,0.05263157894736842,19,0.006,0.066,0,FALSE,FALSE,FALSE
2021-04-26,AMC,0,11.5,NA,0,28,0.006,0.046,0,FALSE,FALSE,FALSE
2021-04-27,AMC,3,11.46,0.15513333333333335,0.02631578947368421,114,0,0.032,0,FALSE,FALSE,FALSE
2021-04-28,AMC,5,10.85,0.6936599999999999,0.060240963855421686,83,0.006,0.072,0,FALSE,FALSE,FALSE
2021-04-29,AMC,4,10.2,0.61265,0.0449438202247191,89,0.004,0.032,0,FALSE,FALSE,FALSE
2021-04-30,AMC,1,10.03,0.9923,0.02,50,0.002,0.06,0,FALSE,FALSE,FALSE
2021-05-01,AMC,0,10.03,NA,0,50,0.01,0.038,0,FALSE,FALSE,FALSE
2021-05-05,AMC,2,9.17,0.8916,0.044444444444444446,45,0.006,0.038,0,FALSE,FALSE,FALSE
2021-05-06,AMC,4,9,0.465225,0.023952095808383235,167,0.002,0.046,0,FALSE,FALSE,FALSE
2021-05-07,AMC,11,9.51,0.5865727272727272,0.062146892655367235,177,0,0.026,0,FALSE,FALSE,FALSE
